date_reform,hourly_energy
2022062513,194.0
2022062514,233.0079956
2022062515,250.0
2022062516,264.0
2022062517,273.0079956
2022062518,278.0
2022062519,278.0
2022062520,278.0
2022062521,278.0
2022062522,278.0
2022062523,278.0
2022062600,0.0
2022062601,0.0
2022062602,0.0
2022062603,0.0
2022062604,0.0
2022062605,0.0
2022062606,0.0
2022062607,0.991999984
2022062608,20.0
2022062609,54.0
2022062610,114.0
2022062611,180.0
2022062612,247.0079956
2022062613,303.0079956
2022062614,360.0
2022062615,412.0
2022062616,455.0079956
2022062617,476.0
2022062618,476.9920044
2022062619,478.0
2022062620,478.0
2022062621,478.0
2022062622,478.0
2022062623,478.0
2022062700,0.0
2022062701,0.0
2022062702,0.0
2022062703,0.0
2022062704,0.0
2022062705,0.0
2022062706,0.0
2022062707,2.0
2022062708,17.00799942
2022062709,57.00799942
2022062710,112.0
2022062711,161.0079956
2022062712,237.0079956
2022062713,298.0
2022062714,330.0
2022062715,362.9920044
2022062716,392.0
2022062717,414.9920044
2022062718,425.0079956
2022062719,426.0
2022062720,426.0
2022062721,426.0
2022062722,426.0
2022062723,426.0
2022062800,0.0
2022062801,0.0
2022062802,0.0
2022062803,0.0
2022062804,0.0
2022062805,0.0
2022062806,0.0
2022062807,0.991999984
2022062808,16.99200058
2022062809,48.0
2022062810,100.9919968
2022062811,162.0
2022062812,196.0
2022062813,211.0079956
2022062814,215.0079956
2022062815,224.9920044
2022062816,232.9920044
2022062817,236.9920044
2022062818,244.9920044
2022062819,244.9920044
2022062820,244.9920044
2022062821,244.9920044
2022062822,244.9920044
2022062823,244.9920044
2022062900,0.0
2022062901,0.0
2022062902,0.0
2022062903,0.0
2022062904,0.0
2022062905,0.0
2022062906,0.0
2022062907,1.008000016
2022062908,20.0
2022062909,54.01599884
2022062910,104.0
2022062911,161.0079956
2022062912,230.0160065
2022062913,291.0079956
2022062914,354.0159912
2022062915,414.0159912
2022062916,465.0079956
2022062917,497.0079956
2022062918,508.0
2022062919,508.0
2022062920,508.0
2022062921,508.0
2022062922,508.0
2022062923,508.0
2022063000,0.0
2022063001,0.0
2022063002,0.0
2022063003,0.0
2022063004,0.0
2022063005,0.0
2022063006,0.0
2022063007,0.0
2022063008,5.007999897
2022063009,16.0
2022063010,45.00799942
2022063011,88.0
2022063012,143.0079956
2022063013,194.0160065
2022063014,229.0079956
2022063015,254.0160065
2022063016,268.0
2022063017,268.0
2022063018,268.0
2022063019,268.0
2022063020,281.0079956
2022063021,281.0079956
2022063022,281.0079956
2022063023,281.0079956
2022070100,0.0
2022070101,0.0
2022070102,0.0
2022070103,0.0
2022070104,0.0
2022070105,0.0
2022070106,0.0
2022070107,1.008000016
2022070108,18.0
2022070109,52.0
2022070110,97.00800323
2022070111,148.0
2022070112,206.0
2022070113,278.9920044
2022070114,325.0079956
2022070115,370.0
